FrameIndex,TimeSec,LevelIndex,CPU_Frame_Total,CPU_Update_Total,CPU_Render_Total,CPU_BeginDraw,CPU_Draw_Total,CPU_Renderer_Draw,CPU_Level_Render,CPU_Present,CPU_Render_Priority,CPU_Render_Shadow,CPU_Render_NonBlend,CPU_Render_OutlineMask,CPU_Render_Lights,CPU_Render_Combined,CPU_Render_PostProcess,CPU_Render_NonLight,CPU_Render_Blend,CPU_Render_UI,CPU_Render_Debug,CPU_RenderProfile_BindAndDraw,CPU_Model_BindBoneMatrices,CPU_Mesh_BindBoneMatrices,CPU_Model_BindMaterial,CPU_Draw_Text,CPU_Render_ProfilerOverlay,GPU_Frame_Total,GPU_Render_Shadow,GPU_Render_NonBlend,GPU_Render_Lights,GPU_Render_Combined,GPU_Render_Blend,GPU_Render_UI,DrawCalls_Total,DrawCalls_Shadow,DrawCalls_NonBlend,Triangles_Total,Triangles_Shadow,Triangles_NonBlend,Objects_Shadow,Objects_NonBlend,ShaderBeginCount,MaterialBindCount,TextureBindCount,TextDrawCalls
131,0.0237601,3,27.3649,6.469,20.892,0.0026,20.5605,20.0846,0.2618,0.325,0.0256,7.22,5.8608,6.8058,0.0508,0.0224,0.0174,0.0008,0.0022,0.002,0.0693,5.2242,5.593,5.5147,0.5085,0.1818,0.2076,2.40788,1.79428,0.3496,0.11256,0.0626,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
132,0.0455213,3,20.4155,2.5385,17.8737,0.002,17.5048,17.0512,0.2752,0.3644,0.0232,5.1362,6.8213,4.9396,0.0306,0.0201,0.0183,0.0006,0.0024,0.0022,0.0505,6.1281,5.1479,5.0774,0.6208,0.159,0.1736,2.27032,1.65116,0.35124,0.1132,0.0634,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
133,0.0665426,3,20.6954,2.0789,18.6129,0.002,18.1958,17.8121,0.2434,0.4122,0.0212,5.7772,8.454,3.4509,0.0237,0.0184,0.0125,0.0006,0.0014,0.002,0.0453,7.748,4.9905,4.9262,0.5299,0.1268,0.1362,2.5098,1.88628,0.3572,0.11276,0.06352,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
134,0.0852443,3,18.4431,2.0429,16.3968,0.0021,16.0243,15.6236,0.2582,0.3674,0.0259,5.3155,6.2346,3.893,0.0438,0.0306,0.0198,0.0007,0.0022,0.0024,0.0483,5.555,5.2665,5.1947,0.5356,0.1297,0.138,1.64164,1.00956,0.35236,0.1198,0.06596,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
135,0.106026,3,20.049,2.3131,17.7323,0.0023,17.3863,16.7431,0.396,0.3404,0.0235,4.8187,7.7566,3.9923,0.0376,0.0268,0.0183,0.0006,0.0019,0.0022,0.0586,7.1127,4.8324,4.7751,0.4593,0.2344,0.2419,1.86248,1.1656,0.38508,0.13324,0.07168,0,4e-05,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
136,0.12665,3,19.9332,2.1445,17.7854,0.0023,17.5007,17.1189,0.2391,0.279,0.0395,4.9368,7.409,4.6231,0.0271,0.0185,0.0122,0.0004,0.0015,0.0016,0.0439,6.6053,5.1978,5.1349,0.6467,0.1292,0.1378,4.37012,3.75716,0.35532,0.1082,0.06172,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
137,0.146043,3,19.1513,1.9986,17.1492,0.0021,16.888,16.4498,0.2895,0.2562,0.0218,3.8125,6.3179,6.1879,0.0293,0.0196,0.0124,0.0005,0.0015,0.0015,0.0403,5.6753,4.9058,4.8465,0.4922,0.1463,0.1442,1.61824,1.02852,0.34372,0.10288,0.05952,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
138,0.16576,3,19.1787,2.4829,16.6924,0.0022,16.3931,16.0061,0.2433,0.2944,0.0227,4.1828,7.8962,3.793,0.0274,0.0187,0.0126,0.0005,0.0014,0.0017,0.0441,7.241,5.0029,4.9302,0.4903,0.1287,0.1395,2.21864,1.56868,0.37848,0.11636,0.06404,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
139,0.185439,3,19.2396,1.9346,17.3015,0.0016,16.9207,16.4948,0.2384,0.3761,0.0204,5.1324,7.4763,3.752,0.0292,0.0191,0.0123,0.0005,0.0016,0.0018,0.0436,6.7016,5.333,5.2532,0.8855,0.1686,0.1826,1.57696,0.96592,0.34148,0.11532,0.0636,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
140,0.205964,3,20.2422,2.5555,17.6837,0.0021,17.2276,16.6131,0.3339,0.4506,0.021,6.1655,6.685,3.6312,0.0284,0.02,0.0125,0.0005,0.0015,0.0015,0.0414,6.069,4.9168,4.8487,0.4519,0.2539,0.2753,1.81944,1.13128,0.3846,0.1316,0.06924,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
141,0.226747,3,20.4603,2.1993,18.2576,0.0021,17.9607,17.5535,0.2492,0.2919,0.0219,5.855,6.2995,5.2666,0.0287,0.0186,0.0127,0.0006,0.0016,0.0014,0.0416,5.5522,5.203,5.13,0.6389,0.1408,0.1528,4.39496,3.77404,0.35588,0.11196,0.06256,0,4e-05,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
142,0.247439,3,20.2235,2.5395,17.6802,0.0025,17.3328,16.6644,0.433,0.3418,0.0242,3.8688,7.2604,5.3082,0.0332,0.06,0.0196,0.0007,0.0026,0.0021,0.0778,6.5179,5.25,5.1802,0.6228,0.2095,0.23,2.40844,1.77924,0.35256,0.11792,0.06512,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
143,0.267869,3,19.6304,2.1083,17.518,0.0022,17.2006,16.8227,0.2345,0.3124,0.022,5.6716,7.5286,3.4902,0.0281,0.0193,0.0118,0.0005,0.0016,0.0013,0.0428,6.878,5.2122,5.139,0.5067,0.1287,0.1391,2.14924,1.5116,0.35728,0.11968,0.06604,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
144,0.285846,3,17.6906,2.2886,15.3987,0.0021,15.0371,14.661,0.2315,0.3568,0.021,4.0871,6.4894,3.9552,0.0293,0.0188,0.0115,0.0005,0.0018,0.0015,0.04,5.8271,4.9229,4.8629,0.4574,0.1286,0.1405,1.90008,1.09832,0.4916,0.13416,0.07148,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
145,0.310131,3,23.7022,2.4612,21.2373,0.0022,20.8413,20.0543,0.5194,0.3909,0.0233,6.6668,7.4197,5.6804,0.0485,0.0355,0.0259,0.0008,0.0023,0.0023,0.1412,6.7853,5.5859,5.5085,0.5115,0.2636,0.2622,1.67564,1.04524,0.35548,0.1182,0.0644,0,0,472,185,200,987222,424013,506432,12,14,472,1118,1138,6
146,0.331694,3,21.3318,2.3822,18.9468,0.0024,18.5529,18.0291,0.3296,0.3882,0.0661,4.2783,7.2662,6.259,0.039,0.0294,0.0186,0.0006,0.0021,0.0023,0.0604,6.5676,5.1482,5.0808,0.625,0.1743,0.1891,2.1082,0.94652,0.91604,0.10352,0.05912,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
147,0.351383,3,19.4023,2.9768,16.4222,0.0021,16.0637,15.5187,0.3482,0.3529,0.0269,5.4712,5.6738,4.2098,0.0317,0.0262,0.0163,0.0006,0.0019,0.0016,0.0536,5.0295,5.4414,5.3668,0.4893,0.1701,0.1905,2.28468,0.90872,1.12852,0.10556,0.05888,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
148,0.373685,3,22.0403,2.7232,19.3138,0.002,18.9217,18.4527,0.2867,0.3864,0.0264,4.2557,9.7128,4.3322,0.0349,0.0206,0.0134,0.0005,0.0021,0.0015,0.0469,8.9155,5.519,5.4319,0.712,0.1505,0.1767,1.76148,1.08932,0.3614,0.13396,0.07128,0,4e-05,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
149,0.395642,3,21.7635,2.7482,19.0121,0.0022,18.7091,18.2908,0.2721,0.2976,0.0256,7.6223,6.4647,3.984,0.0298,0.0208,0.0132,0.0005,0.0014,0.0014,0.1219,5.7131,5.1313,5.0665,0.6711,0.1279,0.1412,5.08248,1.84788,0.4032,0.15348,2.55204,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
150,0.415932,3,20.1149,2.2249,17.8874,0.0022,17.5344,17.1419,0.246,0.3481,0.0262,7.1851,6.185,3.6406,0.0238,0.0187,0.0117,0.0005,0.0014,0.0016,0.0423,5.4697,5.1389,5.067,0.5734,0.129,0.1424,3.60068,2.00948,0.4492,0.13348,0.10512,4e-05,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
151,0.438331,3,22.2135,2.0616,20.1492,0.0016,19.8158,19.234,0.3684,0.3287,0.022,6.407,8.3839,4.2473,0.0392,0.0275,0.017,0.0007,0.0018,0.0021,0.0782,7.6011,5.8302,5.7383,0.7922,0.2024,0.2078,1.7728,1.09632,0.3678,0.13356,0.07052,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
152,0.461504,3,22.9139,2.6889,20.2215,0.0025,19.9387,19.4955,0.2508,0.2772,0.0281,6.4554,5.998,6.8938,0.0337,0.0202,0.013,0.0005,0.0017,0.0015,0.0441,5.3413,5.6225,5.5191,0.5467,0.1741,0.1872,5.45348,4.66904,0.47228,0.13348,0.07068,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
